true_magnitude,predicted_magnitude,predicted_log10_R,theoretical_log10_R
5.289338296498631,5.353388952238006,2.301957249462342,2.274415467494411
4.432631216768236,4.135802285396412,1.7783949827204573,1.9060314232103415
6.877585385008226,7.183050247410973,3.0887116063867186,2.957361715553537
3.805565853739947,3.574697267179473,1.5371198248871734,1.636393317108177
5.091501085123334,5.312118221937111,2.2842108354329578,2.189345466603034
7.390498161180718,7.985502885346729,3.4337662406990934,3.1779142093077084
6.866180946403983,6.79615166763964,2.922345217085045,2.9524578069537126
3.950831104779313,4.153143492728991,1.785851701873466,1.6988573750551046
3.9885603681978,4.10970134073314,1.76717157651525,1.715080958325054
3.9489176377437145,4.450063106146154,1.9135271356428463,1.6980345842297973
4.27488464708199,4.277804751359068,1.8394560430843991,1.8382003982452557
5.151793928960501,4.695528231429951,2.019077139514879,2.2152713894530156
4.782459871025809,4.02767774748899,1.7319014314202659,2.0564577445410976
4.505334905153729,4.790487755221827,2.0599097347453856,1.9372940092161035
4.917246433112229,4.089379467157769,1.7584331708778405,2.1144159662382584
4.290193262371197,3.6260826623703775,1.5592155448192624,1.8447831028196147
