sample_id,kp,dst,gate_value,condition
89,0.5073988343755961,-18.37005529922116,0.94679624,quiet
90,2.2320766113139294,19.244373784470746,0.9497988,quiet
91,6.6257544823533046,-151.8554128436523,0.946793,storm
92,1.3643737598687502,-11.972877112626241,0.94673413,quiet
93,0.5157097475323335,18.550501815217466,0.9499884,quiet
94,6.0070643896174865,-94.7307863120343,0.94677836,storm
95,0.7451577478227382,11.36135825075769,0.9499155,quiet
96,1.160618241646898,6.74071734001501,0.94969064,quiet
97,8.244846297521491,-185.55770230168616,0.9467927,storm
98,1.5128348364518018,-2.083327201870482,0.946383,quiet
99,1.5884206725951213,12.376796450913453,0.949776,quiet
